slug,commonName,scientificName,sources,image,imageCredit,imageLicense,toxicity,plantType
fittonia-albivenis,Nerve Plant,Fittonia albivenis,https://en.wikipedia.org/wiki/Fittonia_albivenis|https://powo.science.kew.org/results?q=Fittonia%20albivenis|https://plants.ces.ncsu.edu/plants/fittonia-albivenis/|https://www.rhs.org.uk/plants/details?plantid=6745,plants/fittonia-albivenis.png,,,,foliage
selaginella-uncinata,Rainbow Moss,Selaginella uncinata,https://en.wikipedia.org/wiki/Selaginella_uncinata|https://powo.science.kew.org/results?q=Selaginella%20uncinata|https://plants.ces.ncsu.edu/plants/selaginella-uncinata/,plants/selaginella-uncinata.png,,,,fern-ally
taxiphyllum-barbieri,Java Moss,Taxiphyllum barbieri,https://en.wikipedia.org/wiki/Taxiphyllum_barbieri|https://powo.science.kew.org/results?q=Taxiphyllum%20barbieri|https://plants.ces.ncsu.edu/plants/taxiphyllum-barbieri/|https://aquariumbreeder.com/java-moss-care-guide-planting-growing-and-propagation/,plants/taxiphyllum-barbieri.png,,,,moss
soleirolia-soleirolii,Baby Tears,Soleirolia soleirolii,https://en.wikipedia.org/wiki/Soleirolia_soleirolii|https://powo.science.kew.org/results?q=Soleirolia%20soleirolii|https://plants.ces.ncsu.edu/plants/soleirolia-soleirolii/,plants/soleirolia-soleirolii.png,"Krzysztof Ziarnek, Kenraiz / Wikimedia Commons",CC-BY-SA-4.0,,ground-cover
pellionia-repens,Trailing Watermelon Begonia,Pellionia repens,https://en.wikipedia.org/wiki/Pellionia_repens|https://powo.science.kew.org/results?q=Pellionia%20repens|https://plants.ces.ncsu.edu/plants/pellionia-repens/|https://www.gardenia.net/plant/pellionia-repens-trailing-watermelon-begonia-grow-care-guide,plants/pellionia-repens.png,,,,vine
maranta-leuconeura,Prayer Plant,Maranta leuconeura,https://en.wikipedia.org/wiki/Maranta_leuconeura|https://powo.science.kew.org/results?q=Maranta%20leuconeura|https://plants.ces.ncsu.edu/plants/maranta-leuconeura/|https://www.gardenia.net/plant/maranta-leuconeura-prayer-plant-grow-care-tips,plants/maranta-leuconeura.png,,,,foliage
calathea-ornata,Pinstripe Calathea,Calathea ornata,https://en.wikipedia.org/wiki/Calathea_ornata|https://powo.science.kew.org/results?q=Calathea%20ornata|https://plants.ces.ncsu.edu/plants/calathea-ornata/,plants/calathea-ornata.png,,,,foliage
hypoestes-phyllostachya,Polka Dot Plant,Hypoestes phyllostachya,https://en.wikipedia.org/wiki/Hypoestes_phyllostachya|https://powo.science.kew.org/results?q=Hypoestes%20phyllostachya|https://plants.ces.ncsu.edu/plants/hypoestes-phyllostachya/|https://hort.extension.wisc.edu/articles/polka-dot-plant-hypoestes-phyllostachya/,plants/hypoestes-phyllostachya.png,,,,foliage
adiantum-raddianum,Maidenhair Fern,Adiantum raddianum,https://en.wikipedia.org/wiki/Adiantum_raddianum|https://powo.science.kew.org/results?q=Adiantum%20raddianum|https://plants.ces.ncsu.edu/plants/adiantum-raddianum/,plants/adiantum-raddianum.png,,,,fern
asplenium-nidus,Bird's Nest Fern,Asplenium nidus,https://en.wikipedia.org/wiki/Asplenium_nidus|https://powo.science.kew.org/results?q=Asplenium%20nidus|https://plants.ces.ncsu.edu/plants/asplenium-nidus/,plants/asplenium-nidus.png,,,,fern
pilea-involucrata,Friendship Plant,Pilea involucrata,https://en.wikipedia.org/wiki/Pilea_involucrata|https://powo.science.kew.org/results?q=Pilea%20involucrata|https://plants.ces.ncsu.edu/plants/pilea-involucrata/,plants/pilea-involucrata.png,,,,foliage
microsorum-pteropus,Java Fern,Microsorum pteropus,https://en.wikipedia.org/wiki/Microsorum_pteropus|https://powo.science.kew.org/results?q=Microsorum%20pteropus|https://plants.ces.ncsu.edu/plants/microsorum-pteropus/|https://www.theaquariumwiki.com/wiki/Microsorum_pteropus,plants/microsorum-pteropus.png,,,,fern
episcia-cupreata,Flame Violet,Episcia cupreata,https://en.wikipedia.org/wiki/Episcia_cupreata|https://powo.science.kew.org/results?q=Episcia%20cupreata|https://plants.ces.ncsu.edu/plants/episcia-cupreata/|https://www.gardenia.net/plant/episcia-cupreata-flame-violet-grow-care-guide,plants/episcia-cupreata.png,,,,foliage
